2_ID_FINAL;4_SEQUENCIAL;5_INCRICAO_IMOVEL_UNIDADE;7_GEOCODING;46_ENDERECO;47_BAIRRO;44_Y_UTM;45_X_UTM;22_AREA_TERRE;23_AREA_TERRENO_LOTE_CARTOG;28_PROFUNDIDA;29_TESTADA;15_TIPO_CONSTRUCAO;24_AREA_CONST_UNIDADE;25_AREA_TOTAL_CONSTR;27_QTD_PAV;30_PADRAO_CONST;31_ESTADO_CONSERV;32_IDADE;34_SITUACAO_QUADRA;36_TIPO_VIA;39_ILUM_PUBLI;41_PAVIMENTAC;43_GUIAS_SARJ;56_COD_SETOR_CENSITARIO;57_V002_;58_V005_;59_V007_;13_NAT_EVENTO;16_DATA_AVALI_VENC;16_2_PERIO_AV;17_VALAVALIAÇÃO;18_VALOPERAÇÃO
7801;14202719;1.3000.007.03.0188.0011.5;130000070188;AVENIDA FERNANDES VIEIRA, 01 AP 203 BL. 01 ,MARCOS FREIRE;MARCOS FREIRE;9099601,49210364;283247,750229711;928,2;745,991142071;8,67199556831436;86,02300776037;APARTAMENTO;45,76;1464,32;4;1;2;15;1;2;2;2;2;260790105000124;730;872,17;1003,38;2 - ESTIMATIVA ITBI;24/08/2020;3 - A PARTIR DE 01/08/2020;45500;38000
7933;14206382;1.3000.009.03.0654.0024.4;130000090654;AVENIDA FERNANDES VIEIRA, 05 AP 308 BL. 05 ,MARCOS FREIRE;MARCOS FREIRE;9099720,88959429;283183,574581443;1055;930,31501454;29,7394529485851;31,2821831709;APARTAMENTO;45,76;1464,32;4;1;2;15;2;2;2;2;2;260790105000164;528;499,49;708,68;2 - ESTIMATIVA ITBI;31/08/2020;3 - A PARTIR DE 01/08/2020;45500;23000
8109;14214369;1.3000.035.04.0625.0018.2;130000350625;TRAVESSA FORTE DAS CINCO PONTAS, 19 AP 302 BL. 19 ,MARCOS FREIRE;MARCOS FREIRE;9099947,44327801;282584,430499615;1152;1235,98675585;36,8672427667861;33,5253374837;APARTAMENTO;45,76;1464,32;4;1;2;15;2;1;2;2;2;260790105000165;958;759,1;861,68;2 - ESTIMATIVA ITBI;10/06/2020;2 - DE 01/03/2020 ATE 31/07/2020;40500;40000
2512;15217256;1.3000.131.02.0545.0000.0;130001310545;AVENIDA FERNANDES VIEIRA, 1281 AP 403 BL. 04 ;MARCOS FREIRE;9098818,67792;283706,083406;19891,91;22054,6756228954;240,546016565525;37,42284532868;APARTAMENTO;76,58;25732,63;4;3;2;2;1;2;2;2;1;260790105000293;1915;1064,13;1140,41;3 - TRANSAÇÃO;02/03/2020;2 - DE 01/03/2020 ATE 31/07/2020;131656,69;122000
2513;15217612;1.3000.131.02.0545.0000.0;130001310545;AVENIDA FERNANDES VIEIRA, 1281 AP 103 BL. 07 ;MARCOS FREIRE;9098818,67792;283706,083406;19891,91;22054,6756228954;240,546016565525;37,42284532868;APARTAMENTO;76,58;25732,63;4;3;2;2;1;2;2;2;1;260790105000293;1915;1064,13;1140,41;3 - TRANSAÇÃO;02/03/2020;2 - DE 01/03/2020 ATE 31/07/2020;132246,98;122000
11748;15218198;1.3000.131.02.0545.0157.7;130001310545;AVENIDA FERNANDES VIEIRA, 1281 AP 401 BL. 10 ,MARCOS FREIRE;MARCOS FREIRE;9098818,6779216;283706,083406355;19891,91;9035,29896019;241,438054237569;37,42284532868;APARTAMENTO;76,58;25732,63;4;3;2;1;1;2;2;2;1;260790105000293;1915;1064,13;1140,41;2 - ESTIMATIVA ITBI;23/07/2020;2 - DE 01/03/2020 ATE 31/07/2020;131656,69;122000
11749;15217850;1.3000.131.02.0545.0123.2;130001310545;AVENIDA FERNANDES VIEIRA, 1281 AP 303 BL. 08 ,MARCOS FREIRE;MARCOS FREIRE;9098818,6779216;283706,083406355;19891,91;9035,29896019;241,438054237569;37,42284532868;APARTAMENTO;76,58;25732,63;4;3;2;1;1;2;2;2;1;260790105000293;1915;1064,13;1140,41;2 - ESTIMATIVA ITBI;24/07/2020;2 - DE 01/03/2020 ATE 31/07/2020;131656,69;122000
11750;15216675;1.3000.131.02.0545.0005.8;130001310545;AVENIDA FERNANDES VIEIRA, 1281 AP 201 BL. 01 ,MARCOS FREIRE;MARCOS FREIRE;9098818,6779216;283706,083406355;19891,91;9035,29896019;241,438054237569;37,42284532868;APARTAMENTO;76,58;25732,63;4;3;2;1;1;2;2;2;1;260790105000293;1915;1064,13;1140,41;2 - ESTIMATIVA ITBI;28/07/2020;2 - DE 01/03/2020 ATE 31/07/2020;131656,69;122000
11751;15216810;1.3000.131.02.0545.0019.8;130001310545;AVENIDA FERNANDES VIEIRA, 1281 AP 103 BL. 02 ,MARCOS FREIRE;MARCOS FREIRE;9098818,6779216;283706,083406355;19891,91;9035,29896019;241,438054237569;37,42284532868;APARTAMENTO;76,58;25732,63;4;3;2;1;1;2;2;2;1;260790105000293;1915;1064,13;1140,41;2 - ESTIMATIVA ITBI;06/08/2020;3 - A PARTIR DE 01/08/2020;122000;122000
11752;15217035;1.3000.131.02.0545.0041.4;130001310545;AVENIDA FERNANDES VIEIRA, 1281 AP 301 BL. 03 ,MARCOS FREIRE;MARCOS FREIRE;9098818,6779216;283706,083406355;19891,91;9035,29896019;241,438054237569;37,42284532868;APARTAMENTO;76,58;25732,63;4;3;2;1;1;2;2;2;1;260790105000293;1915;1064,13;1140,41;2 - ESTIMATIVA ITBI;17/08/2020;3 - A PARTIR DE 01/08/2020;109800;83300
