5_INCRICAO_IMOVEL_UNIDADE	7_GEOCODING	46_ENDERECO	47_BAIRRO	44_Y_UTM	45_X_UTM	16_1_ANO_AV	PESO_AVALIACAO	VLR_AVALIACAO	24_AREA_CONST_UNIDADE	25_AREA_TOTAL_CONSTR	27_QTD_PAV	30_PADRAO_CONST	31_ESTADO_CONSERV	32_IDADE	36_TIPO_VIA	39_ILUM_PUBLI	41_PAVIMENTAC	58_V005_
1.3000.131.02.0545.0001.5	130001310545	AVENIDA FERNANDES VIEIRA, EDF.RESIDENCIAL NOVO ATLÂNTICO, PRAZERES	MARCOS FREIRE	9098799,83	283711,87	2019	2	165000,00	42,00	25732,63	4	3	2	1	2	2	2	1064,13
1.3020.053.03.0302.0013.8	130200530302	RUA GENERAL RAFEL GUIMARÃES, 380, PIEDADE, ED. CONJUNTO RESIDENCIAL SANTOS DUMONT	PIEDADE	9098678,14	288987,62	2020	3	195000,00	75,00	1684,82	3	3	3	30	1	2	1	2640,10
1.3020.063.02.0277.0001.7	130200630277	RUA ERNESTO DE SOUZA LEÃO, 190, PIEDADE, ED. EDIFICIO VERDE VALE	PIEDADE	9098540,53	289198,32	2020	3	180000,00	75,23	2243,94	4	4	2	36	1	2	1	2640,10
1.3020.129.03.0290.0001.1	130201290290	RUA RUA CÂNDIDO FERREIRA, 920, MASSANGANA	PIEDADE	9098030,44	288784,76	2017	1	290000,00	105,00	105,00	4	4	2	6	1	2	1	2102,58
1.3035.045.02.0244.0001.5	130350450244	RUA SÍLVIA FERREIRA, 160, PIEDADE	PIEDADE	9097945,86	289260,74	2017	1	295000,00	130,00	130,00	4	4	2	40	1	2	2	2632,62
1.3035.067.02.0178.0001.5	130350670178	AV. AYRTON SENNA, 464, PIEDADE, ED. VILA RICA	PIEDADE	9097733,97	289225,35	2017	1	360000,00	166,88	1988,22	4	4	4	30	2	2	2	5306,35
1.3035.067.02.0178.0001.5	130350670178	AVENIDA AYRTON SENNA, EDF.VILA RICA, PIEDADE	PIEDADE	9097733,97	289225,35	2019	2	360000,00	166,88	1988,22	4	4	2	38	2	2	2	5306,35
1.3035.073.01.0080.0001.1	130350730080	RUA ANTÔNIO FARIAS, 447, PIEDADE, ED. JAQUELINE	PIEDADE	9097993,11	288907,50	2017	1	230000,00	116,00	714,06	4	3	4	30	1	2	1	2632,62
1.3035.073.01.0080.0001.1	130350730080	RUA ANTÔNIO FARIAS, EDF.JAQUELINE, PIEDADE	PIEDADE	9097993,11	288907,50	2019	2	230000,00	116,00	714,06	4	3	3	41	1	2	1	2632,62
1.3065.019.01.0103.0001.2	130650190103	RUA ÁLVARO PINTO CAVALHEIRA, 435, PIEDADE, ED. SOLAR DE SOUZA LEÃO	PIEDADE	9097684,51	288887,68	2017	1	690000,00	270,00	1252,96	3	4	2	30	1	2	2	4559,64
1.3065.019.01.0103.0001.2	130650190103	RUA ÁLVARO PINTO CAVALHEIRA, EDF.SOLAR DE SOUZA LEÃO, PIEDADE	PIEDADE	9097684,51	288887,68	2019	2	690000,00	270,00	1252,96	3	4	2	30	1	2	2	4559,64
1.3065.031.04.0280.0001.5	130650310292	RUA HERMINIO ALVES DE QUEIROS, 152, PIEDADE, ED. EDIFICIO VENUS	PIEDADE	9097458,88	288893,48	2020	3	240000,00	82,00	690,00	3	4	2	39	1	2	1	4213,26
1.3065.031.04.0280.0001.5	130650310280	RUA HERMINIO ALVES DE QUEIROS, EDF.EDIFICIO VENUS, PIEDADE	PIEDADE	9097458,88	288893,48	2019	2	240000,00	82,00	690,00	3	4	2	39	1	2	1	4213,26
1.3065.039.01.0086.0001.3	130650390086	RUA PROFESSOR SEREVINO TOLENTINO, 491, PIEDADE, ED. EDIFICIO LONG BEACH V	PIEDADE	9097457,13	288742,42	2020	3	270000,00	87,94	2814,24	4	4	2	8	1	2	1	4213,26
1.3065.039.01.0086.0001.3	130650390086	RUA PROFESSOR SEREVINO TOLENTINO, EDF.EDIFICIO LONG BEACH V, PIEDADE	PIEDADE	9097457,13	288742,42	2019	2	270000,00	87,94	2814,24	4	4	2	8	1	2	1	4213,26
1.3115.207.04.0288.0001.0	131152070288	RUA FRATERNIDADE, EDF.EDF COLINA, CANDEIAS	CANDEIAS	9092024,85	287764,19	2019	2	160000,00	97,46	1116,90	4	3	2	19	1	2	1	2046,48
